model,scale,params,bpb,laststep,run
aunet(word),1.3B,1300000000,0.8662,180000,aunet2_1.3B
aunet(word),100M,100000000,1.1972,3340,100M/aunet_100M
aunet(word),300M,300000000,1.0157,9900,small/cmp_g10/aunet_300M
aunet(word),760M,760000000,0.9435,29200,aunet2_760M
bpebyte_rg,1.3B,1300000000,0.8578,180000,bpebyte_br_greedy_root_1.3B
bpebyte_rg,100M,100000000,1.1958,3340,100M/rg_100M
bpebyte_rg,300M,300000000,1.0142,9900,small/cmp_g10/rg_300M
bpebyte_rg,760M,760000000,0.9403,29200,760M/bpebyte_root_greedy_760M
hybrid,1.3B,1300000000,0.8268,180000,poc/scale/hybrid_1p3B_leaf_B3
hybrid,300M,300000000,0.9512,120750,300M/hybrid_300M
llama,1.3B,1300000000,0.8404,60000,llama_1.8B_paper
llama,100M,100000000,1.0845,4400,100M/llama_100M
llama,300M,300000000,0.9679,13000,small/cmp_g10/llama_300M
llama,760M,760000000,0.9191,12900,llama_760M
