model,scale,params,benchmark,metric,value_pct,acc,acc_norm,nshot,source
aunet(word),1.3B,1300000000,arc_challenge,acc_norm,36.52,34.64,36.52,0,main/1.3B/aunet2_1.3B/evals_mmlu_arcc/results.json
aunet(word),1.3B,1300000000,arc_easy,acc_norm,65.66,69.15,65.66,0,main/1.3B/aunet2_1.3B/evals_5bench/results.json
aunet(word),1.3B,1300000000,boolq,acc,61.13,61.13,,0,main/1.3B/aunet2_1.3B/evals_5bench/results.json
aunet(word),1.3B,1300000000,hellaswag,acc_norm,62.65,49.06,62.65,0,main/1.3B/aunet2_1.3B/evals_5bench/results.json
aunet(word),1.3B,1300000000,piqa,acc_norm,74.21,72.96,74.21,0,main/1.3B/aunet2_1.3B/evals_5bench/results.json
aunet(word),1.3B,1300000000,winogrande,acc,61.48,61.48,,0,main/1.3B/aunet2_1.3B/evals_5bench/results.json
aunet(word),100M,100000000,arc_challenge,acc_norm,23.29,18.86,23.29,0,main/100M/aunet_100M/eval_scaling/results.json
aunet(word),100M,100000000,arc_easy,acc_norm,33.67,36.28,33.67,0,main/100M/aunet_100M/eval_scaling/results.json
aunet(word),100M,100000000,boolq,acc,56.7,56.7,,0,main/100M/aunet_100M/evals_fill/results.json
aunet(word),100M,100000000,hellaswag,acc_norm,28.46,28.15,28.46,0,main/100M/aunet_100M/eval_scaling/results.json
aunet(word),100M,100000000,piqa,acc_norm,58.32,58.76,58.32,0,main/100M/aunet_100M/eval_scaling/results.json
aunet(word),100M,100000000,winogrande,acc,49.7,49.7,,0,main/100M/aunet_100M/evals_fill/results.json
aunet(word),300M,300000000,arc_challenge,acc_norm,25.6,23.21,25.6,0,main/300M/aunet_300M/eval_scaling/results.json
aunet(word),300M,300000000,arc_easy,acc_norm,43.86,46.42,43.86,0,main/300M/aunet_300M/eval_scaling/results.json
aunet(word),300M,300000000,boolq,acc,50.7,50.7,,0,main/300M/aunet_300M/evals_fill/results.json
aunet(word),300M,300000000,hellaswag,acc_norm,37.16,34.74,37.16,0,main/300M/aunet_300M/eval_scaling/results.json
aunet(word),300M,300000000,piqa,acc_norm,64.91,64.58,64.91,0,main/300M/aunet_300M/eval_scaling/results.json
aunet(word),300M,300000000,winogrande,acc,50.3,50.3,,0,main/300M/aunet_300M/evals_fill/results.json
aunet(word),760M,760000000,arc_challenge,acc_norm,29.44,28.16,29.44,0,main/760M/aunet2_760M/evals_mmlu_arcc/results.json
aunet(word),760M,760000000,arc_easy,acc_norm,53.37,58.29,53.37,0,main/760M/aunet2_760M/evals_5bench/results.json
aunet(word),760M,760000000,boolq,acc,49.88,49.88,,0,main/760M/aunet2_760M/evals_5bench/results.json
aunet(word),760M,760000000,hellaswag,acc_norm,46.68,40.92,46.68,0,main/760M/aunet2_760M/evals_5bench/results.json
aunet(word),760M,760000000,piqa,acc_norm,69.15,69.86,69.15,0,main/760M/aunet2_760M/evals_5bench/results.json
aunet(word),760M,760000000,winogrande,acc,55.56,55.56,,0,main/760M/aunet2_760M/evals_5bench/results.json
bpebyte_rg,1.3B,1300000000,arc_challenge,acc_norm,37.54,34.73,37.54,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_mmlu_arcc/results.json
bpebyte_rg,1.3B,1300000000,arc_easy,acc_norm,66.84,69.91,66.84,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_5bench/results.json
bpebyte_rg,1.3B,1300000000,boolq,acc,62.05,62.05,,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_5bench/results.json
bpebyte_rg,1.3B,1300000000,hellaswag,acc_norm,62.47,48.58,62.47,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_5bench/results.json
bpebyte_rg,1.3B,1300000000,piqa,acc_norm,74.32,72.69,74.32,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_5bench/results.json
bpebyte_rg,1.3B,1300000000,winogrande,acc,61.09,61.09,,0,main/1.3B/bpebyte_br_greedy_root_1.3B/evals_5bench/results.json
bpebyte_rg,100M,100000000,arc_challenge,acc_norm,22.61,19.37,22.61,0,main/100M/rg_100M/eval_scaling/results.json
bpebyte_rg,100M,100000000,arc_easy,acc_norm,32.58,35.1,32.58,0,main/100M/rg_100M/eval_scaling/results.json
bpebyte_rg,100M,100000000,boolq,acc,55.7,55.7,,0,main/100M/rg_100M/evals_fill/results.json
bpebyte_rg,100M,100000000,hellaswag,acc_norm,28.58,27.92,28.58,0,main/100M/rg_100M/eval_scaling/results.json
bpebyte_rg,100M,100000000,piqa,acc_norm,58.11,57.29,58.11,0,main/100M/rg_100M/eval_scaling/results.json
bpebyte_rg,100M,100000000,winogrande,acc,50.0,50.0,,0,main/100M/rg_100M/evals_fill/results.json
bpebyte_rg,300M,300000000,arc_challenge,acc_norm,24.83,22.27,24.83,0,main/300M/rg_300M/eval_scaling/results.json
bpebyte_rg,300M,300000000,arc_easy,acc_norm,41.75,45.45,41.75,0,main/300M/rg_300M/eval_scaling/results.json
bpebyte_rg,300M,300000000,boolq,acc,47.3,47.3,,0,main/300M/rg_300M/evals_fill/results.json
bpebyte_rg,300M,300000000,hellaswag,acc_norm,37.03,34.3,37.03,0,main/300M/rg_300M/eval_scaling/results.json
bpebyte_rg,300M,300000000,piqa,acc_norm,64.31,65.61,64.31,0,main/300M/rg_300M/eval_scaling/results.json
bpebyte_rg,300M,300000000,winogrande,acc,54.8,54.8,,0,main/300M/rg_300M/evals_fill/results.json
bpebyte_rg,760M,760000000,arc_challenge,acc_norm,29.27,26.45,29.27,0,main/760M/bpebyte_root_greedy_760M/evals_mmlu_arcc/results.json
bpebyte_rg,760M,760000000,arc_easy,acc_norm,51.05,56.48,51.05,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,boolq,acc,45.47,45.47,,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,hellaswag,acc_norm,45.78,40.57,45.78,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,piqa,acc_norm,69.1,69.8,69.1,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,winogrande,acc,54.62,54.62,,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
hybrid,1.3B,1300000000,arc_challenge,acc_norm,36.4,34.7,36.4,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
